"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"PT","Portugal","ERDF","2018","10780390712","0","10780390712","354560526.94","0","0","354560526.94","747109681.78","93071658.07","375454752.55","278583271.16","2918192073.48","0","3011263731.55","3644407529.65","33.81","33.81"
"CZ","Czechia","TOTAL","2019","18084635726","0","18084635726","513229152.96","0","0","513229152.96","1747453391.48","127742076.71","1130974034.28","488737280.49","5651673339.12","15959292.83","5763456123","6765422556.45","37.41","37.41"
"AT","Austria","TOTAL","2019","536262079","0","536262079","15122590.62","0","0","15122590.62","51668851.31","3553012.66","33623355.97","14492482.68","156442109.88","0","159995122.54","189610195.84","35.36","35.36"
"TC","Interreg","ERDF","2014","1972500983","0","1972500983","19725009.83","0","0","19725009.83","0","0","0","0","0","0","0","19725009.83","1","1"
"BE","Belgium","TOTAL","2015","949587368","0","949587368","17852241.56","0","0","17852241.56","0","0","0","0","0","0","0","17852241.56","1.88","1.88"
"PT","Portugal","CF","2019","2861742164","0","2861742164","94151317.19","0","0","94151317.19","275728857.49","25667983.92","172722291.59","77338581.98","738115974.62","0","763783958.54","935273857.71","32.68","32.68"
"ES","Spain","TOTAL","2019","20681351741","-2111646","20679240095","638552276.36","0","0","638552276.36","1934084905.67","89928793.63","1285242581.2","558913530.84","4744841175.16","77194386.94","4757575581.85","5955041389.05","28.8","28.79"
"EE","Estonia","TOTAL","2019","2922618697","0","2922618697","83121848.34","0","0","83121848.34","282562771.4","45904999.02","137495550.74","99162221.64","1152020501.04","0","1197925500.06","1380209570.04","47.23","47.23"
"RO","Romania","ERDF","2015","10726080699","0","10726080699","302475475.74","0","0","302475475.74","0","0","0","0","0","0","0","302475475.74","2.82","2.82"
"CY","Cyprus","ERDF","2017","299898560","0","299898560","10988443.09","0","0","10988443.09","12698449.81","0","5491221.54","7207228.27","58326285.47","0","58326285.47","76521956.83","25.52","25.52"
"LV","Latvia","ERDF","2014","2401252452","0","2401252452","22571773.04","0","0","22571773.04","0","0","0","0","0","0","0","22571773.04","0.94","0.94"
"CZ","Czechia","CF","2019","6143946095","0","6143946095","176501705.37","0","0","176501705.37","596967945.54","79614858.7","351312943.63","166040143.21","2206409467","0","2286024325.7","2628566174.28","42.78","42.78"
"GR","Greece","TOTAL","2015","11412736113","0","11412736113","321818756.76","375455216.14","0","697273972.9","0","0","0","0","0","0","0","697273972.9","6.11","6.11"
"UK","United Kingdom","ERDF","2016","5825584287","0","5825584287","164281476.84","0","0","164281476.84","109520984.56","0","0","109520984.56","66689245.36","0","66689245.36","340491706.76","5.84","5.84"
"GR","Greece","CF","2019","3265667753","0","3265667753","122080193.92","213640339.36","0","335720533.28","313658108.94","12014363.97","213389073.94","88254671.03","727940254.21","25977581.55","713977036.63","1137952240.94","34.85","34.85"
"HU","Hungary","ERDF","2016","10756780690","0","10756780690","303341215.56","0","0","303341215.56","202227477.04","0","0","202227477.04","530333194.09","0","530333194.09","1035901886.69","9.63","9.63"
"RO","Romania","TOTAL","2018","17661077676","0","17661077676","664056520.67","0","0","664056520.67","1224354209.94","0","767815351.99","456538857.95","2229714594.22","0","2229714594.22","3350309972.84","18.97","18.97"
"CY","Cyprus","CF","2020","258856192","0","258856192","10134768","0","0","10134768","35624831.75","8693660.27","14356522.42","12574649.06","107751909.91","0","116445570.18","139154987.24","53.76","53.76"
"GR","Greece","TOTAL","2019","11874174308","0","11874174308","429091675.64","750910432.28","0","1180002107.92","1123366358.77","129083133.53","672198766.47","322084458.77","3022320900.88","25994814.78","3125409219.63","4627495786.32","38.97","38.97"
"MT","Malta","CF","2020","204992109","0","204992109","6140327.46","0","0","6140327.46","27119779.62","4844500.76","13821135.47","8454143.39","79957153.12","0","84801653.88","99396124.73","48.49","48.49"
"IE","Ireland","TOTAL","2019","410775098","0","410775098","13462894.8","0","0","13462894.8","39509953.73","2781637.35","25627136.44","11101179.94","95505081.01","0","98286718.36","122850793.1","29.91","29.91"
"CY","Cyprus","CF","2018","294869025","0","294869025","10134768","0","0","10134768","19340689.81","2216951.76","9501373.74","7622364.31","78139235.68","0","80356187.44","98113319.75","33.27","33.27"
"IT","Italy","ERDF","2016","20650352961","0","20650352961","582340156.41","0","0","582340156.41","388226770.94","0","0","388226770.94","29402104.52","0","29402104.52","999969031.87","4.84","4.84"
"AT","Austria","ERDF","2016","536262079","0","536262079","15122590.62","0","0","15122590.62","10081727.08","0","0","10081727.08","0","0","0","25204317.7","4.7","4.7"
"HU","Hungary","ERDF","2015","10756780690","0","10756780690","202227477.04","0","0","202227477.04","0","0","0","0","0","0","0","202227477.04","1.88","1.88"
"HU","Hungary","CF","2019","6025427012","0","6025427012","169917041.73","0","0","169917041.73","580549892.6","5643438.42","412069289.18","162837165","2986645359.83","678730658.48","2313558139.77","2646312346.5","43.92","43.92"
"GR","Greece","TOTAL","2017","11887994956","0","11887994956","429091675.64","750910432.28","0","1180002107.92","495542196.3","22761106.87","190599832.88","282181256.55","1269636574.34","0","1292397681.21","2754581045.68","23.17","23.17"
"CZ","Czechia","ERDF","2015","11940689631","0","11940689631","224484965.06","0","0","224484965.06","0","0","0","0","0","0","0","224484965.06","1.88","1.88"
"CY","Cyprus","TOTAL","2020","558754752","0","558754752","21123211.09","0","0","21123211.09","72637557.36","22173378.81","27031836.02","23432342.53","250655282.36","0","272828661.17","317384214.79","56.8","56.8"
"FR","France","ERDF","2017","8426107776","0","8426107776","237689732.43","0","0","237689732.43","366438337.67","0","158459821.62","207978516.05","575108085.49","0","575108085.49","1020776333.97","12.11","12.11"
"IE","Ireland","ERDF","2019","410775098","0","410775098","13462894.8","0","0","13462894.8","39509953.73","2781637.35","25627136.44","11101179.94","95505081.01","0","98286718.36","122850793.1","29.91","29.91"
"HU","Hungary","TOTAL","2015","16782207702","0","16782207702","315505504.86","0","0","315505504.86","0","0","0","0","0","0","0","315505504.86","1.88","1.88"
"HU","Hungary","TOTAL","2020","16829123749","0","16829123749","473258257.29","0","0","473258257.29","2091976072.46","156770503.79","1055119337.28","880086231.39","9867723138.9","882229081.44","9142264561.25","10495609049.93","62.37","62.37"
"BE","Belgium","TOTAL","2017","953009307","0","953009307","26778362.34","0","0","26778362.34","41283308.62","0","17852241.56","23431067.06","35270978.39","0","35270978.39","85480407.79","8.97","8.97"
"BG","Bulgaria","TOTAL","2015","5845974756","0","5845974756","109904325.38","0","0","109904325.38","0","0","0","0","0","0","0","109904325.38","1.88","1.88"
"MT","Malta","ERDF","2018","384353997","0","384353997","10838782.71","0","0","10838782.71","26645340.83","393750","16316040.01","9935550.82","58863947.87","0","59257697.87","80032031.4","20.82","20.82"
"GR","Greece","ERDF","2014","8165716612","0","8165716612","17858550.19","0","0","17858550.19","0","0","0","0","0","0","0","17858550.19","0.22","0.22"
"PT","Portugal","CF","2014","2861742164","0","2861742164","40350564.51","0","0","40350564.51","0","0","0","0","0","0","0","40350564.51","1.41","1.41"
"FI","Finland","ERDF","2021","885989090","0","885989090","32594021.52","0","0","32594021.52","115835351.59","28243382.39","53641608.67","33950360.53","518919866.26","0","547163248.65","613707630.7","69.27","69.27"
"MT","Malta","TOTAL","2019","602096106","0","602096106","16979110.17","0","0","16979110.17","58011959.75","3878504.71","37861807.8","16271647.24","167120235.14","0","170998739.85","204249497.26","33.92","33.92"
"UK","United Kingdom","TOTAL","2015","5825584287","0","5825584287","109520984.56","0","0","109520984.56","0","0","0","0","0","0","0","109520984.56","1.88","1.88"
"CZ","Czechia","ERDF","2018","11940689631","0","11940689631","336727447.59","0","0","336727447.59","827788308.66","12598064.42","506523417.29","308666826.95","1523990052.61","0","1536588117.03","2181982391.57","18.27","18.27"
"LT","Lithuania","CF","2016","2048917626","0","2048917626","57779477.04","0","0","57779477.04","38519651.36","0","0","38519651.36","95004862.2","0","95004862.2","191303990.6","9.34","9.34"
"PT","Portugal","TOTAL","2015","13638657876","0","13638657876","320508460.1","0","0","320508460.1","0","0","0","0","0","0","0","320508460.1","2.35","2.35"
"NL","Netherlands","ERDF","2018","510282703","0","510282703","14306374.02","0","0","14306374.02","35246467.8","0","22055659.94","13190807.86","80402560.1","0","80402560.1","107899741.98","21.15","21.15"
"SI","Slovenia","ERDF","2019","1416685363","0","1416685363","39209079.75","0","0","39209079.75","135354569.84","6385034.99","90683612.92","38285921.93","372258094.47","0","378643129.46","456138131.14","32.2","32.2"
"BE","Belgium","TOTAL","2016","949587368","0","949587368","26778362.34","0","0","26778362.34","17852241.56","0","0","17852241.56","0","0","0","44630603.9","4.7","4.7"
"CZ","Czechia","TOTAL","2016","18199615353","0","18199615353","513229152.96","0","0","513229152.96","342152768.64","0","0","342152768.64","60056248.11","0","60056248.11","915438169.71","5.03","5.03"
"RO","Romania","TOTAL","2016","17661077676","0","17661077676","664056520.67","0","0","664056520.67","332028260.32","0","0","332028260.32","0","0","0","996084780.99","5.64","5.64"
"AT","Austria","TOTAL","2017","536262079","0","536262079","15122590.62","0","0","15122590.62","23313993.89","0","10081727.08","13232266.81","33441668.05","0","33441668.05","61796525.48","11.52","11.52"
"PL","Poland","CF","2018","23207989042","0","23207989042","654465290.97","0","0","654465290.97","1608893840.3","249413037.5","759554286.08","599926516.72","6173934704.85","193650.61","6423154091.74","7677545899.43","33.08","33.08"
"PL","Poland","TOTAL","2014","42485632339","0","42485632339","124132607.37","0","0","124132607.37","0","0","0","0","0","0","0","124132607.37","0.29","0.29"
"IE","Ireland","TOTAL","2020","470775098","0","470775098","13462894.8","0","0","13462894.8","51093793.67","9257936.89","25627136.44","16208720.34","221943437.5","0","231201374.39","260872989.53","55.41","55.41"
"EE","Estonia","TOTAL","2018","2922618697","0","2922618697","83121848.34","0","0","83121848.34","203579001.14","23212733.42","84754998.05","95611269.67","756401349.41","0","779614082.83","958347200.84","32.79","32.79"
"RO","Romania","TOTAL","2017","17661077676","0","17661077676","664056520.67","0","0","664056520.67","767815351.99","0","332028260.32","435787091.67","1070046235.58","0","1070046235.58","2169889847.92","12.29","12.29"
"IT","Italy","ERDF","2015","20650352961","0","20650352961","388226770.94","0","0","388226770.94","0","0","0","0","0","0","0","388226770.94","1.88","1.88"
"MT","Malta","CF","2019","217742109","0","217742109","6140327.46","0","0","6140327.46","20979452.16","1273836.21","13821135.47","5884480.48","54828480.33","0","56102316.54","68127124.48","31.29","31.29"
"EE","Estonia","ERDF","2018","1861084020","0","1861084020","52854171.27","0","0","52854171.27","129475660.93","14237564.81","67245949.22","47992146.9","378761093","0","392998657.81","493844975.98","26.54","26.54"
"PT","Portugal","CF","2020","2781050224","0","2781050224","94151317.19","0","0","94151317.19","356429986.51","49539390.76","172722291.59","134168304.16","1110359000.24","0","1159898391","1388218012.35","49.92","49.92"
"BE","Belgium","TOTAL","2018","953009307","0","953009307","26778362.34","0","0","26778362.34","65918597.65","2107708.7","39175599.92","24635289.03","104502402.71","0","106610111.41","158023762.78","16.58","16.58"
"PT","Portugal","CF","2017","2861742164","0","2861742164","94151317.19","0","0","94151317.19","124414240.57","0","53800752.68","70613487.89","172570269.47","0","172570269.47","337335074.55","11.79","11.79"
"PL","Poland","TOTAL","2016","63421859277","0","63421859277","1788496431.69","0","0","1788496431.69","1192330954.46","0","0","1192330954.46","2469428336.77","0","2469428336.77","5450255722.92","8.59","8.59"
"PT","Portugal","TOTAL","2019","13638657876","0","13638657876","448711844.13","0","0","448711844.13","1314107300.31","228402608.98","717097348.31","368607343.02","4974712273.01","0","5203114881.99","6020434069.14","44.14","44.14"
"LT","Lithuania","ERDF","2014","3501411767","0","3501411767","32913270.61","0","0","32913270.61","0","0","0","0","0","0","0","32913270.61","0.94","0.94"
"SE","Sweden","ERDF","2018","934750041","0","934750041","26648949","0","0","26648949","65247084.05","10362939.84","30720856.55","24163287.66","271963794.19","0","282326734.03","333138970.69","35.64","35.64"
"HR","Croatia","CF","2014","2559545971","0","2559545971","24059732.13","0","0","24059732.13","0","0","0","0","0","0","0","24059732.13","0.94","0.94"
"NL","Netherlands","TOTAL","2021","730697716","0","730697716","38552025.45","0","0","38552025.45","78040784.34","14864597.91","40989279.6","22186906.83","222547601.53","0","237412199.44","298151131.72","40.8","40.8"
"FI","Finland","TOTAL","2021","885989090","0","885989090","32594021.52","0","0","32594021.52","115835351.59","28243382.39","53641608.67","33950360.53","518919866.26","0","547163248.65","613707630.7","69.27","69.27"
"BG","Bulgaria","ERDF","2021","3813837809","0","3813837809","121151359.01","0","0","121151359.01","510184049.04","136517763.25","251215999.5","122450286.29","1895392878.07","0","2031910641.32","2275512286.62","59.66","59.66"
"IT","Italy","ERDF","2019","21660538269","0","21660538269","582340156.41","0","0","582340156.41","2043455249.36","93772231.94","1363927276.23","585755741.19","4454900775.13","81806034.39","4466866972.68","5634962870.28","26.01","26.01"
"SK","Slovakia","TOTAL","2014","11528546809","0","11528546809","88021765.46","0","0","88021765.46","0","0","0","0","0","0","0","88021765.46","0.76","0.76"
"HU","Hungary","TOTAL","2019","16810667329","0","16810667329","473258257.29","0","0","473258257.29","1617734833.88","108307211.91","1055119337.28","454308284.69","7182906393.11","882229081.44","6408984523.58","7336551065.56","43.64","43.64"
"MT","Malta","ERDF","2017","384353997","0","384353997","10838782.71","0","0","10838782.71","16709790.01","0","7225855.14","9483934.87","32289542.52","0","32289542.52","52612260.1","13.69","13.69"
"AT","Austria","TOTAL","2014","536262079","0","536262079","5040863.54","0","0","5040863.54","0","0","0","0","0","0","0","5040863.54","0.94","0.94"
"NL","Netherlands","ERDF","2021","730697716","0","730697716","38552025.45","0","0","38552025.45","78040784.34","14864597.91","40989279.6","22186906.83","222547601.53","0","237412199.44","298151131.72","40.8","40.8"
"MT","Malta","ERDF","2015","384353997","0","384353997","7225855.14","0","0","7225855.14","0","0","0","0","0","0","0","7225855.14","1.88","1.88"
"MT","Malta","CF","2021","204992109","0","204992109","6140327.46","0","0","6140327.46","31219621.8","7258664.6","17547299.09","6413658.11","101576656.94","0","108835321.54","121389307.11","59.22","59.22"
"BE","Belgium","TOTAL","2020","953009307","0","953009307","26778362.34","0","0","26778362.34","118548533.31","13245822.3","58351657.43","46951053.58","284784970.79","0","298030793.09","371760209.01","39.01","39.01"
"PT","Portugal","TOTAL","2017","13638657876","0","13638657876","448711844.13","0","0","448711844.13","592940651.19","1608346.7","254798421.36","336533883.13","1823484700.7","0","1825093047.4","2610338774.66","19.14","19.14"
"EU28","EU28","TOTAL","2014","133162721010","0","133162721010","776134779.68","0","0","776134779.68","0","0","0","0","0","0","0","776134779.68","0.58","0.58"
"SK","Slovakia","CF","2016","4168251427","0","4168251427","117544690.23","0","0","117544690.23","78363126.82","0","0","78363126.82","214204174.95","0","214204174.95","410111992","9.84","9.84"
"BE","Belgium","ERDF","2018","953009307","0","953009307","26778362.34","0","0","26778362.34","65918597.65","2107708.7","39175599.92","24635289.03","104502402.71","0","106610111.41","158023762.78","16.58","16.58"
"SK","Slovakia","ERDF","2014","7360295382","0","7360295382","48840202.05","0","0","48840202.05","0","0","0","0","0","0","0","48840202.05","0.66","0.66"
"HU","Hungary","TOTAL","2018","16810667329","0","16810667329","473258257.29","0","0","473258257.29","1163426549.19","46841084.51","682765395.49","433820069.19","4726561018.92","2375028.29","4771027075.14","5678105401.62","33.78","33.78"
"FR","France","TOTAL","2015","8426107776","0","8426107776","158459821.62","0","0","158459821.62","0","0","0","0","0","0","0","158459821.62","1.88","1.88"
"AT","Austria","ERDF","2019","536262079","0","536262079","15122590.62","0","0","15122590.62","51668851.31","3553012.66","33623355.97","14492482.68","156442109.88","0","159995122.54","189610195.84","35.36","35.36"
"RO","Romania","CF","2018","6934996977","0","6934996977","260755886.36","0","0","260755886.36","480768665.48","0","301498993.61","179269671.87","1079932436.56","0","1079932436.56","1519957994.79","21.92","21.92"
"HR","Croatia","TOTAL","2016","6881045559","0","6881045559","194045484.78","0","0","194045484.78","129363656.52","0","0","129363656.52","0","0","0","323409141.3","4.7","4.7"
"AT","Austria","ERDF","2018","536262079","0","536262079","15122590.62","0","0","15122590.62","37176368.63","0","23313993.89","13862374.74","78483029.8","0","78483029.8","107467995.16","20.04","20.04"
"UK","United Kingdom","ERDF","2020","5861030512","-46154833","5814875679","164281476.84","0","0","164281476.84","727195354.3","120458656.51","357955347.73","248781350.06","2116652330.26","16432276.13","2220678710.64","2633741537.54","45.29","44.94"
"HR","Croatia","ERDF","2018","4321499588","0","4321499588","121866288.39","0","0","121866288.39","299587958.99","6072592.62","181804602.01","111710764.36","293927725","0","300000317.62","533577370.37","12.35","12.35"
"NL","Netherlands","TOTAL","2017","510282703","0","510282703","14306374.02","0","0","14306374.02","22055659.94","0","9537582.68","12518077.26","28556922.2","0","28556922.2","55381373.48","10.85","10.85"
"GR","Greece","TOTAL","2021","13478298513","0","13478298513","605958734.47","750910432.28","0","1356869166.75","1727784044.53","279262383.78","918624748.6","529896912.15","7919523163.99","35560051.32","8163225496.45","10049991575.35","74.56","74.56"
"AT","Austria","TOTAL","2016","536262079","0","536262079","15122590.62","0","0","15122590.62","10081727.08","0","0","10081727.08","0","0","0","25204317.7","4.7","4.7"
"SI","Slovenia","TOTAL","2020","2330732258","0","2330732258","64458524.01","0","0","64458524.01","288337675.72","30274925.57","140686875.49","117375874.66","1034369700.3","0","1064644625.87","1246479024.54","53.48","53.48"
"IT","Italy","TOTAL","2016","20650352961","0","20650352961","582340156.41","0","0","582340156.41","388226770.94","0","0","388226770.94","29402104.52","0","29402104.52","999969031.87","4.84","4.84"
"SK","Slovakia","TOTAL","2017","11459711649","0","11459711649","325105019.97","0","0","325105019.97","501203572.49","0","216736679.98","284466892.51","783977046.91","0","783977046.91","1393548959.39","12.16","12.16"
"SE","Sweden","TOTAL","2015","944998230","0","944998230","17765966","0","0","17765966","0","0","0","0","0","0","0","17765966","1.88","1.88"
"IT","Italy","TOTAL","2015","20650352961","0","20650352961","388226770.94","0","0","388226770.94","0","0","0","0","0","0","0","388226770.94","1.88","1.88"
"LT","Lithuania","TOTAL","2015","5550329393","0","5550329393","104346192.58","0","0","104346192.58","0","0","0","0","0","0","0","104346192.58","1.88","1.88"
"HU","Hungary","CF","2016","6025427012","0","6025427012","169917041.73","0","0","169917041.73","113278027.82","0","0","113278027.82","0","0","0","283195069.55","4.7","4.7"
"NL","Netherlands","ERDF","2019","510282703","0","510282703","14306374.02","0","0","14306374.02","49036857.82","3096002.72","32150465.08","13790390.02","128338677.3","0","131434680.02","159531444.06","31.26","31.26"
"SK","Slovakia","ERDF","2019","7168081083","-38892342","7129188741","207560329.74","0","0","207560329.74","704749324.2","24946627.15","483526461.28","196276235.77","1193194879.56","15038216.49","1203103290.22","1606939855.73","22.54","22.42"
"AT","Austria","ERDF","2015","536262079","0","536262079","10081727.08","0","0","10081727.08","0","0","0","0","0","0","0","10081727.08","1.88","1.88"
"CZ","Czechia","CF","2021","6143946095","0","6143946095","176501705.37","0","0","176501705.37","893106147.31","243289838.74","441502996.58","208313311.99","3898042432.07","0","4141332270.81","4526147288.17","73.67","73.67"
"IE","Ireland","TOTAL","2017","410775098","0","410775098","13462894.8","0","0","13462894.8","17790253.84","0","7693082.74","10097171.1","21173571.16","0","21173571.16","44733637.06","10.89","10.89"
"IT","Italy","TOTAL","2018","21660538269","0","21660538269","582340156.41","0","0","582340156.41","1457699508.17","17689135.98","880085271.89","559925100.3","2435801500.7","28065.32","2453462571.36","3595727828.07","16.6","16.6"
"LV","Latvia","TOTAL","2019","3750667147","0","3750667147","105768813.51","0","0","105768813.51","361376779.51","28702027.96","231312971.94","101361779.61","1166197652.92","1507380.69","1193392300.19","1400522893.31","37.34","37.34"
"GR","Greece","CF","2021","2775403635","0","2775403635","122080193.92","213640339.36","0","335720533.28","461258012.28","40112656.49","289429577.99","131715777.8","1039727860.53","25977581.55","1053862935.47","1521299246.55","54.81","54.81"
"DK","Denmark","TOTAL","2019","206615841","0","206615841","5826566.73","0","0","5826566.73","19907436.35","2654751.48","11668891.75","5583793.12","58060012.23","0","60714763.71","72125123.56","34.91","34.91"
"GR","Greece","TOTAL","2020","11870416160","0","11870416160","429091675.64","750910432.28","0","1180002107.92","1458218074.27","190836650.41","672198766.47","595182657.39","5936361056.77","25994814.78","6101202892.4","7876387657.71","66.35","66.35"
"HR","Croatia","TOTAL","2014","6881045559","0","6881045559","64681828.26","0","0","64681828.26","0","0","0","0","0","0","0","64681828.26","0.94","0.94"
"LU","Luxembourg","TOTAL","2020","19502403","0","19502403","549967.77","0","0","549967.77","2429024.32","559464.31","1124807.88","744752.13","10031112.93","830013.35","9760563.89","11055283.79","56.69","56.69"
"SI","Slovenia","CF","2016","895370363","0","895370363","25249444.26","0","0","25249444.26","16832962.84","0","0","16832962.84","25484579.14","0","25484579.14","67566986.24","7.55","7.55"
"FI","Finland","TOTAL","2020","791976209","0","791976209","22252604.61","0","0","22252604.61","98515569.79","18687038.03","40864223.98","38964307.78","407549039.23","0","426236077.26","487452989.65","61.55","61.55"
"GR","Greece","ERDF","2017","8622327203","0","8622327203","307011481.72","537270092.92","0","844281574.64","354556269.81","12262388.38","140058454.41","202235427.02","905122635.83","0","917385024.21","1963902025.87","22.78","22.78"
"NL","Netherlands","TOTAL","2019","510282703","0","510282703","14306374.02","0","0","14306374.02","49036857.82","3096002.72","32150465.08","13790390.02","128338677.3","0","131434680.02","159531444.06","31.26","31.26"
"IE","Ireland","ERDF","2017","410775098","0","410775098","13462894.8","0","0","13462894.8","17790253.84","0","7693082.74","10097171.1","21173571.16","0","21173571.16","44733637.06","10.89","10.89"
"HR","Croatia","TOTAL","2018","6831255232","0","6831255232","194045484.78","0","0","194045484.78","475741403.51","6072592.62","293080863.11","176587947.78","376843069.52","0","382915662.14","753549094.7","11.03","11.03"
"LU","Luxembourg","TOTAL","2015","19502403","0","19502403","366645.18","0","0","366645.18","0","0","0","0","0","0","0","366645.18","1.88","1.88"
"GR","Greece","CF","2017","3265667753","0","3265667753","122080193.92","213640339.36","0","335720533.28","140985926.49","10498718.49","50541378.47","79945829.53","364513938.51","0","375012657","790679019.81","24.21","24.21"
"EU28","EU28","CF","2015","63396513337","0","63396513337","1303543481.3","106820169.68","0","1410363650.98","0","0","0","0","9926178.32","0","9926178.32","1420289829.3","2.24","2.24"
"DE","Germany","TOTAL","2018","10773842813","0","10773842813","303822367.17","0","0","303822367.17","746896652.76","19017418.02","449375398.13","278503836.61","1635230792.47","0","1654248210.49","2236574414.27","20.76","20.76"
"BG","Bulgaria","TOTAL","2016","5845974756","0","5845974756","164856488.07","0","0","164856488.07","109904325.38","0","0","109904325.38","215671108.03","0","215671108.03","490431921.48","8.39","8.39"
"ES","Spain","ERDF","2018","20681351741","0","20681351741","638552276.36","0","0","638552276.36","1375171374.83","16000732","827751140.28","531419502.55","2993154595.03","77194386.94","2931960940.09","4101932719","19.83","19.83"
"EU28","EU28","CF","2014","43043543743","0","43043543743","204254029.72","0","0","204254029.72","0","0","0","0","0","0","0","204254029.72","0.47","0.47"
"AT","Austria","ERDF","2014","536262079","0","536262079","5040863.54","0","0","5040863.54","0","0","0","0","0","0","0","5040863.54","0.94","0.94"
"CZ","Czechia","TOTAL","2021","18678990753","0","18678990753","605054515.93","0","0","605054515.93","2631019934","630362536.36","1390631785.29","610025612.35","10411837170.25","15959292.83","11026240413.78","12241320542.06","65.54","65.54"
"HR","Croatia","ERDF","2019","4321499588","0","4321499588","121866288.39","0","0","121866288.39","416376485.36","16587490.86","283000468.13","116788526.37","1078824528.38","0","1095412019.24","1334066834","30.87","30.87"
"FR","France","TOTAL","2014","8426107776","0","8426107776","54576005.22","0","0","54576005.22","0","0","0","0","0","0","0","54576005.22","0.65","0.65"
"DK","Denmark","ERDF","2020","206615841","0","206615841","5826566.73","0","0","5826566.73","25734003.08","2829554.48","11668891.75","11235556.85","82568697.37","0","85398251.85","102460375.43","49.59","49.59"
"IE","Ireland","TOTAL","2016","409206529","0","409206529","13462894.8","0","0","13462894.8","7693082.74","0","0","7693082.74","0","0","0","21155977.54","5.17","5.17"
"NL","Netherlands","ERDF","2015","507318228","0","507318228","9537582.68","0","0","9537582.68","0","0","0","0","0","0","0","9537582.68","1.88","1.88"
"EU28","EU28","CF","2018","63282608285","0","63282608285","1899468771.83","213640339.36","0","2113109111.19","4391840595.19","360570166.26","2375236553.37","1656033875.56","14186142683.28","35079238.81","14511633610.73","18280776597.48","28.89","28.89"
"EE","Estonia","TOTAL","2020","2922618697","0","2922618697","83121848.34","0","0","83121848.34","364980618.62","62440135.45","157674002.12","144866481.05","1570412602.46","1248645.94","1631604091.97","1859592421.36","63.63","63.63"
"LT","Lithuania","ERDF","2018","3501411767","0","3501411767","98739811.83","0","0","98739811.83","242735370.76","10933956.17","141289920.41","90511494.18","776747847.91","0","787681804.08","976933110.09","27.9","27.9"
"PL","Poland","CF","2017","23207989042","0","23207989042","654465290.97","0","0","654465290.97","1008967323.58","42038041.24","394272152.74","572657129.6","3101783893.54","0","3143821934.78","4370944355.35","18.83","18.83"
"SK","Slovakia","CF","2015","4168251427","0","4168251427","78363126.82","0","0","78363126.82","0","0","0","0","0","0","0","78363126.82","1.88","1.88"
"DK","Denmark","ERDF","2015","206615841","0","206615841","3884377.82","0","0","3884377.82","0","0","0","0","0","0","0","3884377.82","1.88","1.88"
"EE","Estonia","CF","2020","1061534677","0","1061534677","30267677.07","0","0","30267677.07","132726592.73","26563959.22","52206385.96","53956247.55","663309308.47","1248645.94","688624621.75","772848546.37","72.8","72.8"
"EE","Estonia","CF","2016","1073321882","0","1073321882","30267677.07","0","0","30267677.07","20178451.38","0","0","20178451.38","101350999.55","0","101350999.55","151797128","14.14","14.14"
"LV","Latvia","CF","2016","1349414695","0","1349414695","38053494.39","0","0","38053494.39","25368996.26","0","0","25368996.26","81573822.09","0","81573822.09","144996312.74","10.75","10.75"
"GR","Greece","CF","2018","3265667753","0","3265667753","122080193.92","213640339.36","0","335720533.28","225403437.91","11128823.72","129857102.77","84417511.42","517563842.34","25174817.81","503517848.25","923655892.95","28.28","28.28"
"FR","France","ERDF","2015","8426107776","0","8426107776","158459821.62","0","0","158459821.62","0","0","0","0","0","0","0","158459821.62","1.88","1.88"
"BG","Bulgaria","ERDF","2014","459761907","0","459761907","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BG","Bulgaria","ERDF","2018","3567667612","0","3567667612","100608226.62","0","0","100608226.62","247328557.14","31568034.46","123536314.94","92224207.74","763287310.03","0","794855344.49","987687778.85","27.68","27.68"
"RO","Romania","ERDF","2018","10726080699","0","10726080699","403300634.31","0","0","403300634.31","743585544.46","0","466316358.38","277269186.08","1149782157.66","0","1149782157.66","1830351978.05","17.06","17.06"
"LV","Latvia","CF","2014","1349414695","0","1349414695","12684498.13","0","0","12684498.13","0","0","0","0","0","0","0","12684498.13","0.94","0.94"
"DK","Denmark","TOTAL","2017","206615841","0","206615841","5826566.73","0","0","5826566.73","8982623.73","87306.62","3797071.2","5098245.91","18049178.54","0","18136485.16","29061297.8","14.07","14.07"
"UK","United Kingdom","TOTAL","2017","5856532225","0","5856532225","164281476.84","0","0","164281476.84","253267276.84","0","109520984.56","143746292.28","309042645.41","0","309042645.41","617070414.53","10.54","10.54"
"BE","Belgium","ERDF","2019","953009307","0","953009307","26778362.34","0","0","26778362.34","91673672.55","7566940.22","58351657.43","25755074.9","245212919.35","0","252779859.57","305313296.81","32.04","32.04"
