"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"GR","Greece","ERDF","2019","8608506555","0","8608506555","307011481.72","537270092.92","0","844281574.64","809708249.83","117068769.56","458809692.53","233829787.74","2294380646.67","17233.23","2411432183","3489543545.38","40.54","40.54"
"HR","Croatia","ERDF","2015","4321499588","0","4321499588","81244192.26","0","0","81244192.26","0","0","0","0","0","0","0","81244192.26","1.88","1.88"
"UK","United Kingdom","ERDF","2021","5861030512","-46154833","5814875679","164281476.84","0","0","164281476.84","843373391.98","185167864.66","457606179.1","200599348.22","2994514409.56","16432276.13","3163249998.09","3528130823.15","60.67","60.2"
"BG","Bulgaria","TOTAL","2021","6020735225","0","6020735225","185399620.46","0","0","185399620.46","838085152.11","186184011.31","435236981.65","216664159.15","2647423855.4","0","2833607866.71","3235671646.32","53.74","53.74"
"BG","Bulgaria","CF","2021","2206897416","0","2206897416","64248261.45","0","0","64248261.45","327901103.07","49666248.06","184020982.15","94213872.86","752030977.33","0","801697225.39","960159359.7","43.51","43.51"
"IT","Italy","TOTAL","2020","21542042052","0","21542042052","582340156.41","0","0","582340156.41","2654678631.44","264815995.27","1363927276.23","1025935359.94","6496147885.38","81806034.39","6679157846.26","8287433362.61","38.47","38.47"
"SK","Slovakia","CF","2017","4168251427","0","4168251427","117544690.23","0","0","117544690.23","181214730.77","0","78363126.82","102851603.95","509207305.17","0","509207305.17","729603599.35","17.5","17.5"
"SK","Slovakia","CF","2018","4168251427","0","4168251427","117544690.23","0","0","117544690.23","288964030.15","23133285.31","158081445.46","107749299.38","1125382004.2","9710770.39","1138804519.12","1364098508.73","32.73","32.73"
"LU","Luxembourg","ERDF","2018","19502403","0","19502403","549967.77","0","0","549967.77","1352004.1","127458.73","720408.25","504137.12","5865279.94","0","5992738.67","7046843.56","36.13","36.13"
"PL","Poland","ERDF","2019","40213870235","0","40213870235","1134031140.72","0","0","1134031140.72","3874606397.62","384233589.82","2403592964.58","1086779843.22","14495933493.42","103176280.44","14776990802.8","16997801786.74","42.27","42.27"
"EE","Estonia","ERDF","2019","1861084020","0","1861084020","52854171.27","0","0","52854171.27","179771456.55","24008044.77","105467616.16","50295795.62","623527561.74","0","647535606.51","750685573.4","40.34","40.34"
"PT","Portugal","ERDF","2016","10776915712","0","10776915712","354560526.94","0","0","354560526.94","202606015.38","0","0","202606015.38","499231481.47","0","499231481.47","1056398023.79","9.8","9.8"
"FI","Finland","ERDF","2015","789099456","0","789099456","14835069.74","0","0","14835069.74","0","0","0","0","0","0","0","14835069.74","1.88","1.88"
"LT","Lithuania","CF","2015","2048917626","0","2048917626","38519651.36","0","0","38519651.36","0","0","0","0","0","0","0","38519651.36","1.88","1.88"
"GR","Greece","TOTAL","2018","11874174308","0","11874174308","429091675.64","750910432.28","0","1180002107.92","802466798.05","79743307.84","414613990.41","308109499.8","1958458653.56","25174817.81","2013027143.59","3501138751.31","29.49","29.49"
"AT","Austria","TOTAL","2018","536262079","0","536262079","15122590.62","0","0","15122590.62","37176368.63","0","23313993.89","13862374.74","78483029.8","0","78483029.8","107467995.16","20.04","20.04"
"BG","Bulgaria","ERDF","2019","3567667612","0","3567667612","100608226.62","0","0","100608226.62","340812274.32","58009758.83","190338798.31","92463717.18","1203163222.81","0","1261172981.64","1454244925.44","40.76","40.76"
"EE","Estonia","TOTAL","2014","2947583275","0","2947583275","27707282.78","0","0","27707282.78","0","0","0","0","0","0","0","27707282.78","0.94","0.94"
"MT","Malta","TOTAL","2017","602096106","0","602096106","16979110.17","0","0","16979110.17","26176128.18","0","11319406.78","14856721.4","43268958.6","0","43268958.6","75104790.17","12.47","12.47"
"UK","United Kingdom","TOTAL","2018","5856532225","-3342730","5853189495","164281476.84","0","0","164281476.84","404658634.87","22931561.55","230335715.29","151391358.03","970331516.26","0","993263077.81","1308935912.68","22.36","22.35"
"IT","Italy","TOTAL","2019","21660538269","0","21660538269","582340156.41","0","0","582340156.41","2043455249.36","93772231.94","1363927276.23","585755741.19","4454900775.13","81806034.39","4466866972.68","5634962870.28","26.01","26.01"
