"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"66"	"BE"	"Belgium"	"TOTAL"	2016	949587368	0	0	0	949587368	26778362.34	0	0	26778362.34	17852241.56	0	0	0	0	44630603.9	0	0	0	0	0	44630603.9	4.69999974767988	4.69999974767988
"67"	"ES"	"Spain"	"ERDF"	2015	19408883778	0	0	0	19408883778	456108768.85	0	0	456108768.85	0	0	0	0	0	456108768.85	455852047.78	0	0	0	455852047.78	911960816.63	4.69867730190496	4.69867730190496
"68"	"HU"	"Hungary"	"CF"	2017	6025427012	0	0	0	6025427012	169917041.73	0	0	169917041.73	261955439.34	0	0	113278027.82	0	318594453.25	894070578.45	0	0	0	894070578.45	1212665031.7	20.1257940604858	20.1257940604858
"69"	"AT"	"Austria"	"ERDF"	2015	536262079	0	0	0	536262079	10081727.08	0	0	10081727.08	0	0	0	0	0	10081727.08	0	0	0	0	0	10081727.08	1.87999999903032	1.87999999903032
"70"	"TC"	"Interreg"	"ERDF"	2021	9410256783	1306860	0	0	9408949923	277009954.59	0	0	277009954.59	1425146510.54	273242344.24	0	793378204.08	0	635535916.81	4997782236.19	4078814.76	0	0	5266945765.67	5902481682.48	62.7326293665513	62.7239173020556
"71"	"IE"	"Ireland"	"ERDF"	2019	410775098	0	0	0	410775098	13462894.8	0	0	13462894.8	39509953.73	2781637.35	0	25627136.44	0	24564074.74	95505081.01	0	0	0	98286718.36	122850793.1	29.9070692693256	29.9070692693256
"72"	"LV"	"Latvia"	"CF"	2023	1246634592	0	0	0	1246634592	38053494.39	0	0	38053494.39	242867675.75	26728833.24	0	157051202.55	0	97141134.35	932556402.72	1582884.99	0	0	957702350.97	1054843485.32	84.6152908068831	84.6152908068831
"73"	"HU"	"Hungary"	"TOTAL"	2022	17406099478	0	0	0	17406099478	708633792.81	0	0	708633792.81	2767428129.75	219083676.98	0	1802387991.95	0	1454590253.63	14900210648.72	1263834269.67	0	0	13855460056.03	15310050309.66	87.9579616847	87.9579616847
"74"	"GR"	"Greece"	"TOTAL"	2016	11390067403	0	0	0	11390067403	429091675.64	750910432.28	0	1180002107.92	214545837.76	3123962.08	0	0	0	1391423983.6	442646696.49	0	0	0	445770658.57	1837194642.17	16.1297960509532	16.1297960509532
"75"	"LV"	"Latvia"	"ERDF"	2014	2401252452	0	0	0	2401252452	22571773.04	0	0	22571773.04	0	0	0	0	0	22571773.04	0	0	0	0	0	22571773.04	0.939999999633525	0.939999999633525
"76"	"PL"	"Poland"	"CF"	2014	23207989042	0	0	0	23207989042	7001233.63	0	0	7001233.63	0	0	0	0	0	7001233.63	0	0	0	0	0	7001233.63	0.0301673428806335	0.0301673428806335
"77"	"CY"	"Cyprus"	"TOTAL"	2015	561640720	0	0	0	561640720	15843908.32	0	0	15843908.32	0	0	0	0	0	15843908.32	0	0	0	0	0	15843908.32	2.82100420354137	2.82100420354137
